"popid"	"lower_cdl"	"med_cdl"	"upper_cdl"	"order.x"	"lower_r"	"med_r"	"upper_r"	"lower_s"	"med_s"	"upper_s"	"lower_b"	"med_b"	"upper_b"	"lower_w"	"med_w"	"upper_w"	"lower_e"	"med_e"	"upper_e"	"ID"	"PY"	"pops_left_drc"	"region"	"genus"	"spec"	"nmethod"	"degN"	"degE"	"n_pp"	"day"
"44"	"gomi_1981. Kagoshima.Tetranychus.urticae"	9.51553708452265	9.87547699585039	12.3901228879847	"Trombidiformes"	2.6598904630117e-05	0.00491297800552295	0.0173294784906488	0.00621326288145601	0.0142746652277249	0.0282725713080658	3.50780086399775e-07	6.23395837097147e-05	0.000384133920681525	0.00618531729645043	0.014180275528433	0.0279706431738167	251.967746975322	293.320978132124	351.897959731085	"gomi_1981"	1981	"6"	"japan"	"Tetranychus"	"urticae"	"global average"	31.596536	130.557117	5	356
"45"	"gomi_1981. Morioka.Tetranychus.urticae"	12.3913790326533	12.4931595812989	12.589157032749	"Trombidiformes"	0.592742937305319	0.722981912338857	0.790856615297014	0.248389432057693	0.249778782402025	0.250170132309032	0.147771691335297	0.180462755884804	0.197408859525286	0.0522362540391683	0.069145900866546	0.101686240012768	256.183561722181	258.267434159097	260.728204592904	"gomi_1981"	1981	"6"	"japan"	"Tetranychus"	"urticae"	"global average"	39.7	141.15444	7	356
"46"	"gomi_1981. Sapporo.Tetranychus.urticae"	12.3604288473724	12.4738282622878	12.5826226423827	"Trombidiformes"	0.669775305334042	0.732822281088004	0.771659349056911	0.248923346437534	0.249803418745884	0.250168489604805	0.167444998070124	0.182957697981181	0.192801379446833	0.0570447214462617	0.0666872733430806	0.0825115603159732	257.451731003909	259.769131214808	262.164611729603	"gomi_1981"	1981	"6"	"japan"	"Tetranychus"	"urticae"	"global average"	43.05	141.354167	11	353
"47"	"gomi_1996. AT.Hyphantria.cunea"	14.5397837777593	14.5533247861012	14.566651168266	"Lepidoptera"	0.872822598740586	0.886106268022818	0.895121808847444	0.250204870993426	0.250221050034099	0.250223832584854	0.218388442037717	0.221722008863004	0.223980928715166	0.0262430381470468	0.0284983608968101	0.0318220001555622	201.632019532774	202.193590432248	202.729191246495	"gomi_1996"	1996	"6"	"Japan"	"Hyphantria"	"cunea"	"global average"	39.7	140.1	5	221
"48"	"gomi_1996. FI.Hyphantria.cunea"	14.6049175378098	14.614547864126	14.6243139593988	"Lepidoptera"	0.835935086191021	0.86956459645419	0.898257937516962	0.248912491670001	0.249341211580717	0.249734444651403	0.208238702851775	0.216806036646899	0.224275124924683	0.0254048296136988	0.032521671357435	0.0409072913388677	185.3665116785	188.970440520855	189.92783660779	"gomi_1996"	1996	"6"	"Japan"	"Hyphantria"	"cunea"	"global average"	36.1	136.2	4	203
"49"	"gomi_1996. MB.Hyphantria.cunea"	14.5476937399733	14.5589382341315	14.5701824410394	"Lepidoptera"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"gomi_1996"	1996	"6"	"Japan"	"Hyphantria"	"cunea"	"global average"	36.4	139.1	4	204
"50"	"gomi_1996. UW.Hyphantria.cunea"	14.2345575086127	14.2433945702981	14.2472016781138	"Lepidoptera"	0.880789230737482	0.905150033487633	0.925776139223409	0.249433257572255	0.249724789851058	0.249933662239424	0.219794338944874	0.226031360388765	0.231367477720958	0.0185509942346922	0.0236863043017373	0.0297638295970927	203.003218815006	203.041166290105	203.396903016718	"gomi_1996"	1996	"6"	"Japan"	"Hyphantria"	"cunea"	"global average"	35.9	139.7	4	213
"51"	"hashimoto.Iwamizawa.Pieris.rapae"	14.4535836018869	14.567971976373	14.6936961429014	"Lepidoptera"	0.656918717042393	0.78453921346105	0.858574937989162	0.248087245562874	0.250075988011327	0.250206687711137	0.163339964205183	0.196122647471328	0.214798726718218	0.0353811653432433	0.0538675123419085	0.0853901415041237	209.374295902411	213.430014226118	215.810829325637	"hashimoto"	2008	"7"	"Japan"	"Pieris"	"rapae"	"global average"	43.16666667	141.77575	8	313
"52"	"hashimoto.Kagoshima.Pieris.rapae"	11.8439663476347	11.9789372158382	12.0039397151216	"Lepidoptera"	0.836914217174418	0.949460942791897	0.991880403838128	0.249804010150315	0.250219979480988	0.250247571891511	0.20923642805103	0.237541678201872	0.248215492826141	0.00203191385465217	0.0126448125274835	0.0407922115485806	270.988544767566	271.083701466148	274.604187178727	"hashimoto"	2008	"7"	"Japan"	"Pieris"	"rapae"	"global average"	31.596536	130.557117	6	356
"53"	"hashimoto.Matsuyama.Pieris.rapae"	11.4178326356609	11.6685496053884	11.9594274593149	"Lepidoptera"	0.589522480221207	0.689346438753277	0.771369304382604	0.247663582060929	0.250098424483635	0.250185539643027	0.146884629576517	0.172263539335989	0.192705945392148	0.0570989562214588	0.0776384653940518	0.102494215117159	270.211684445254	279.801552138149	287.5562730601	"hashimoto"	2008	"7"	"Japan"	"Pieris"	"rapae"	"global average"	33.839167	132.765556	6	356
"54"	"hashimoto.Nagaoka.Pieris.rapae"	13.012087422076	13.0655191371745	13.38950561873	"Lepidoptera"	0.608360839339011	0.73253708906217	0.860526193469814	0.240095775906791	0.246249140524554	0.249742822496449	0.147243545276431	0.180271733607148	0.2145701775686	0.0348176339169183	0.065776739724582	0.0948306160479361	231.606759611085	239.190714474492	244.963747290849	"hashimoto"	2008	"7"	"Japan"	"Pieris"	"rapae"	"global average"	37.38333333	138.838889	5	326
"55"	"hashimoto.Naze.Pieris.rapae"	10.9903512377023	11.0653939002224	11.3455277758755	"Lepidoptera"	0.59293725167442	0.758868214905625	0.891735566618607	0.248101885452027	0.250055844952026	0.250210578068061	0.14771903224805	0.189714438831698	0.223041808937368	0.0270708208038255	0.060194066232735	0.101285166374321	296.349016432477	308.522898517071	309.053589058959	"hashimoto"	2008	"7"	"Japan"	"Pieris"	"rapae"	"global average"	28.377247	129.493742	5	356
"56"	"hashimoto.Okayama.Pieris.rapae"	11.9675374689584	12.0119109300616	12.1260347643919	"Lepidoptera"	0.730820132271086	0.864774534252459	0.946718030983292	0.247664706211569	0.249885129717207	0.25022202173074	0.181509585236491	0.215989943425413	0.236852814405025	0.0133302931662541	0.0337895378403802	0.0669852238354877	267.604291323787	269.962469942818	270.849809748228	"hashimoto"	2008	"7"	"Japan"	"Pieris"	"rapae"	"global average"	34.655278	133.919444	5	336
"57"	"hashimoto.Sendai.Pieris.rapae"	13.0224663764571	13.1710929072618	13.2884429282079	"Lepidoptera"	0.686957383349522	0.830140687879928	0.904305734683142	0.245502227567571	0.250043293925319	0.250223395458358	0.169189531126408	0.207371852443727	0.226275559453052	0.023935769573994	0.0424182706725717	0.0770468898578054	237.385672952921	240.614243440014	244.916994677573	"hashimoto"	2008	"7"	"Japan"	"Pieris"	"rapae"	"global average"	38.25	140.869444	5	324
