"popid"	"lower_b"	"med_b"	"upper_b"	"order"	"lower_w"	"med_w"	"upper_w"	"order.x"	"order.y"	"lower_e"	"med_e"	"upper_e"	"ID"	"PY"	"pops_left_drc"	"region"	"genus"	"spec"	"nmethod"	"degN"	"degE"	"n_pp"
"50"	"hou. JY.Laodelphax.striatellus"	0.148996999217447	0.16399821649549	0.178810051156277	"Hemiptera"	0.0661343007909211	0.078491098743427	0.0903641794981088	"Hemiptera"	"Hemiptera"	12.0141776332588	12.0949249072776	12.4896030934754	"hou"	2016	"3"	"Asia"	"Laodelphax"	"striatellus"	"global average"	32.51	120.15	6
"51"	"ichijo.HA.Drosophila.lacertosa"	0.149828663281154	0.179317022722416	0.203794704222676	"Diptera"	0.0463220578904486	0.0705379195928617	0.0997347432099679	"Diptera"	"Diptera"	13.1881089597713	13.2981001273517	13.4109479827653	"ichijo"	1986	"8"	"japan"	"Drosophila"	"lacertosa"	"accurate"	41.768819	140.728831	6
"52"	"ichijo.MA.Drosophila.lacertosa"	0.141883112749371	0.174501981130368	0.199077804638268	"Diptera"	0.0494663423935425	0.0724485409086039	0.10545838329184	"Diptera"	"Diptera"	12.9339070305987	12.9974414333366	13.0453947654264	"ichijo"	1986	"8"	"japan"	"Drosophila"	"lacertosa"	"accurate"	41.429167	140.111111	4
"53"	"ichijo.MM.Drosophila.lacertosa"	0.120628460239161	0.154201201559553	0.186852102043554	"Diptera"	0.0622989214814936	0.0953534244815493	0.129003378431229	"Diptera"	"Diptera"	12.0174038454326	12.1296809420602	12.2127593891427	"ichijo"	1986	"8"	"japan"	"Drosophila"	"lacertosa"	"accurate"	41.197028	140.429889	6
"54"	"ichijo.MY.Drosophila.lacertosa"	0.0616770439852385	0.111419001884798	0.205468917256258	"Diptera"	0.0441650971421437	0.118765615167798	0.151285300875637	"Diptera"	"Diptera"	11.9058238886823	12.2398467237053	12.4990703000201	"ichijo"	1986	"8"	"japan"	"Drosophila"	"lacertosa"	"accurate"	39.641389	141.957222	4
"55"	"ichijo.OM.Drosophila.lacertosa"	0.0932959230499858	0.110407379925697	0.1369336632221	"Diptera"	0.101937987046742	0.120864178510692	0.133659243617702	"Diptera"	"Diptera"	12.2519151598019	12.3582620337681	12.4856344210962	"ichijo"	1986	"8"	"japan"	"Drosophila"	"lacertosa"	"accurate"	41.52675	140.907333	7
"56"	"ichijo.ON.Drosophila.lacertosa"	0.185793736793347	0.205245681617267	0.221041175865992	"Diptera"	0.0289933668943271	0.0448338102440065	0.0643075015986555	"Diptera"	"Diptera"	13.4821755039364	13.5035938513095	13.5449516583659	"ichijo"	1986	"8"	"japan"	"Drosophila"	"lacertosa"	"accurate"	44.16666667	141.662758	6
"57"	"ichijo.SA.Drosophila.lacertosa"	0.150814749352974	0.166070352444931	0.179106596300697	"Diptera"	0.0658108643860599	0.0770193707384262	0.0917290915976848	"Diptera"	"Diptera"	13.390013878648	13.4694098961597	13.4924163302319	"ichijo"	1986	"8"	"japan"	"Drosophila"	"lacertosa"	"accurate"	43.061944	141.354167	5
"58"	"ichijo.WA.Drosophila.lacertosa"	0.186755381484978	0.208157943234753	0.223154593500393	"Diptera"	0.0269418207893853	0.0419962649839157	0.0630739800534001	"Diptera"	"Diptera"	13.5444865816282	13.7168565329177	13.7827182803566	"ichijo"	1986	"8"	"japan"	"Drosophila"	"lacertosa"	"accurate"	45.3975	141.700881	6
"59"	"ito.EN.Orius.sauteri"	0.17414931986874	0.204362822818526	0.225262152292937	"Hemiptera"	0.0245888981694527	0.0446204381685587	0.0741124777738349	"Hemiptera"	"Hemiptera"	14.4245157384085	14.4873758781167	14.5088505690819	"ito"	2000	"8"	"japan"	"Orius"	"sauteri"	"accurate"	44.066667	143.533333	6
