"row"	"set"	"popid"	"ID"	"PY"	"region"	"pops_left"	"genus"	"spec"	"order"	"pop"	"degN"	"degE"	"nmethod"	"perc"	"n2"	"dl2"	"number"	"nslop"	"inc2"	"b"	"bse"	"c"	"cse"	"d"	"dse"	"e"	"ese"	"invvar_b"	"invvar_e"
"b:nechols-quincy-Chrysopa-oculata"	"newsearch"	"nechols-quincy-Chrysopa-oculata"	"nechols"	1987	"US"	3	"Chrysopa"	"oculata"	"Neuroptera"	"quincy"	30.583333	-84.583333	"accurate"	0	12	14	2	"n"	0	45.9498827349953	3.12836051690658	NA	NA	NA	NA	12.6910583897418	0.0295273526432256	0.102180119904717	1146.96714676319
"b:nechols-saltillo-Chrysopa-oculata"	"newsearch"	"nechols-saltillo-Chrysopa-oculata"	"nechols"	1987	"US"	3	"Chrysopa"	"oculata"	"Neuroptera"	"saltillo"	25.228056	-100.721944	"accurate"	0	8	14	2	"n"	0	22.7077837432625	3.36360843810178	NA	NA	NA	NA	10.0375732069635	0.0432323672992909	0.0883871505873062	535.034720259072
"b:paolucci-HAM-Nasonia-vitripennis"	"newsearch"	"paolucci-HAM-Nasonia-vitripennis"	"paolucci"	2013	"Europe"	4	"Nasonia"	"vitripennis"	"Hymenoptera"	"HAM"	53.6065611111	10.1715944444	"pop level/ask"	0	26	18	3	"x"	0	32.7942458150263	5.757872225214	0	0.00210537490194309	0.878978885929759	0.0171783866447444	14.5153243752662	0.100370961358695	0.030163098604849	99.2621853272227
"b:paolucci-LAT-Nasonia-vitripennis"	"newsearch"	"paolucci-LAT-Nasonia-vitripennis"	"paolucci"	2013	"Europe"	4	"Nasonia"	"vitripennis"	"Hymenoptera"	"LAT"	56.8562666667	25.2003833333	"pop level/ask"	0	26	18	3	"x"	0	24.3058048634214	5.66727401953165	0	0.00210537490194309	0.887309851810093	0.0230682026798081	14.1078861716103	0.206123881655446	0.0311351940194008	23.5365809581389
"b:paolucci-SCH-Nasonia-vitripennis"	"newsearch"	"paolucci-SCH-Nasonia-vitripennis"	"paolucci"	2013	"Europe"	4	"Nasonia"	"vitripennis"	"Hymenoptera"	"SCH"	50.33225	9.5130555556	"pop level/ask"	0	22	18	4	"x"	0	71.8605680857707	52.6712097782286	0	0.00210537490194309	0.490531722535506	0.048898627686771	13.8104189077949	0.174325831707204	0.000360456957693912	32.9061072006263
"b:paolucci-TUR-Nasonia-vitripennis"	"newsearch"	"paolucci-TUR-Nasonia-vitripennis"	"paolucci"	2013	"Europe"	4	"Nasonia"	"vitripennis"	"Hymenoptera"	"TUR"	65.0611555556	25.528	"pop level/ask"	17.9278442186	26	18	3	"x"	4	19.4191241147383	4.71980641305429	0	0.00210537490194309	0.957907318326163	0.0219745224061949	15.8689781306701	0.336257584853327	0.0448902090551203	8.8441443288596
"b:riihimaa-Kuusamo3-Chymomyza-costata"	"newsearch"	"riihimaa-Kuusamo3-Chymomyza-costata"	"riihimaa"	1996	"Europe"	6	"Chymomyza"	"costata"	"Diptera"	"Kuusamo3"	65.966667	29.166667	"global average"	85.7798165138	221	24	2	"n"	189	85.1007763443772	78.4411949032001	0.843347142924912	0.0169762655188326	1	0.000655511899770971	20.2614808975777	0.310366351999844	0.000162521790613008	10.381275982674
"b:riihimaa-Kuusamo5-Chymomyza-costata"	"newsearch"	"riihimaa-Kuusamo5-Chymomyza-costata"	"riihimaa"	1996	"Europe"	6	"Chymomyza"	"costata"	"Diptera"	"Kuusamo5"	65.966667	29.166667	"global average"	85.9327217125	221	24	4	"n"	189	21.7682794006135	3.04264236832571	0.854674377281161	0.00458541543654882	1	0.000655511899770971	19.5930817916675	0.150937291039891	0.108018510180953	43.8941756914128
"b:riihimaa-Punkaharju-Chymomyza-costata"	"newsearch"	"riihimaa-Punkaharju-Chymomyza-costata"	"riihimaa"	1996	"Europe"	6	"Chymomyza"	"costata"	"Diptera"	"Punkaharju"	61.75	29.4	"global average"	17.4311926606	221	24	2	"n"	38	86.0443541703149	1.45748735738345	0.16171955250942	0.00658670002275656	1	0.000655511899770971	18.4727855953901	0.0102568685495938	0.303429886547167	3514.63457191149
"b:ryan-28-Papilio-glaucus"	"newsearch"	"ryan-28-Papilio-glaucus"	"ryan"	2018	"US"	3	"Papilio"	"glaucus"	"Lepidoptera"	"28"	28.5	-82.19	"accurate"	0	7	15.5	6	"x"	0	7.78160794718956	2.50345399992109	0.0105946254971321	0.141328164285787	1	0.00188863342366911	10.4207066404307	0.87325185451664	0.159558802558054	1.31135708429473
