"pop" "spec" "order" "yi" "upper" "lower" "p" "vi"
"136" "lankinen. Kutaisi2.Drosophila.littoralis" "littoralis" "Diptera" 0.489591747570516 0.618806634915415 0.366054055626419 1.48770192056338 0.0638838663372402
"137" "lankinen. Kutaisi4.Drosophila.littoralis" "littoralis" "Diptera" 0.605938724008044 0.717605905165285 0.466785230266942 1.48770192056338 0.0629110109564603
"138" "lankinen. Kutaisi5.Drosophila.littoralis" "littoralis" "Diptera" 0.680095715514088 0.803503263161954 0.52583095461576 1.48770192056338 0.0771019109333727
"139" "lankinen. Kutaisi7.Drosophila.littoralis" "littoralis" "Diptera" 0.303913526052389 0.445772216298712 0.203357536804661 1.48770192056338 0.0587648768342035
"140" "lankinen. Moscow2.Drosophila.littoralis" "littoralis" "Diptera" 0.851575518738975 0.927989683256771 0.74978919332755 1.56503839257203 0.0317554146110144
"141" "lankinen. Oulu1.Drosophila.littoralis" "littoralis" "Diptera" 0.767300998171953 0.899714993486597 0.567549963084744 1.18111608465125 0.110333607421864
"142" "lankinen. Oulu7.Drosophila.littoralis" "littoralis" "Diptera" 0.573739961145503 0.805244615310758 0.340668397698687 1.18111608465125 0.215831061970738
"143" "lankinen. Oulu8.Drosophila.littoralis" "littoralis" "Diptera" 0.525239194719614 0.746306653597744 0.326741070963789 1.18111608465125 0.17603527813097
"144" "lankinen. Paltamo1.Drosophila.littoralis" "littoralis" "Diptera" 0.810632217662252 0.898820723923284 0.680053909164624 1.38390119978761 0.0478589192396499
"145" "lankinen. Tbilisi.Drosophila.littoralis" "littoralis" "Diptera" 0.862007045740929 0.942867330340231 0.739202033993268 1.03796662163185 0.0414795529360962
"146" "lankinen. Ticino2.Drosophila.littoralis" "littoralis" "Diptera" 0.656246769231742 0.768258869163061 0.524537920902094 NA 0.059399900621225
"147" "lumme.C.Drosophila.littoralis" "littoralis" "Diptera" 0.419469423153008 0.644869227538302 0.33237267983033 1.34604300695713 0.0976540923294008
"148" "lumme.Ki.Drosophila.littoralis" "littoralis" "Diptera" 0.920861439802066 0.954572561429754 0.876330340160643 2.20834092234803 0.00612184518912452
"149" "lumme.Ku.Drosophila.littoralis" "littoralis" "Diptera" 0.66169747187725 0.709528223867474 0.608941459189059 1.51155505224339 0.0101176972284709
"150" "lumme.O.Drosophila.littoralis" "littoralis" "Diptera" 0.951913600033089 0.977389247464481 0.909205791854104 1.07540774485975 0.00464898361897225
"151" "lumme.P.Drosophila.littoralis" "littoralis" "Diptera" 0.853899983387315 0.878273485374342 0.822256515635412 1.41931708229837 0.0031379008987322
"152" "lumme.R.Drosophila.littoralis" "littoralis" "Diptera" 0.864121070558695 0.890333186067895 0.828393830801025 0.939497284156603 0.00383648373087554
